Line Number,Latitude,Longitude
1,36.973870238886064,-121.99944953042726
2,36.97388,-121.9994
3,36.97389,-121.9994
4,36.97398,-121.99942
5,36.97402,-121.99943
6,36.97417,-121.9994
7,36.97421,-121.9994
8,36.97424,-121.99938
9,36.97464,-121.99908
10,36.97471,-121.99903
11,36.9748,-121.99897
12,36.97487,-121.99893
13,36.97495,-121.9989
14,36.97503,-121.99886
15,36.97513,-121.99882
16,36.9752,-121.99879
17,36.97521,-121.99879
18,36.97521,-121.99878
19,36.97522,-121.99877
20,36.97522,-121.99876
21,36.97523,-121.99874
22,36.97523,-121.99873
23,36.97523,-121.99871
24,36.97523,-121.99866
25,36.97522,-121.99864
26,36.97521,-121.99856
27,36.97521,-121.99854
28,36.97521,-121.99853
29,36.97522,-121.99852
30,36.97522,-121.99851
31,36.97523,-121.99851
32,36.97524,-121.9985
33,36.97525,-121.99849
34,36.97525,-121.99848
35,36.97526,-121.99848
36,36.97526,-121.99847
37,36.97526,-121.99846
38,36.97527,-121.99845
39,36.97527,-121.99844
40,36.97527,-121.99843
41,36.97528,-121.99843
42,36.97528,-121.99842
43,36.97529,-121.99841
44,36.9753,-121.99839
45,36.97531,-121.99837
46,36.97531,-121.99836
47,36.97532,-121.99835
48,36.97532,-121.99834
49,36.97533,-121.99833
50,36.97533,-121.99832
51,36.97533,-121.99831
52,36.97534,-121.9983
53,36.97534,-121.99829
54,36.97534,-121.99828
55,36.97534,-121.99827
56,36.97534,-121.99826
57,36.97534,-121.99825
58,36.97534,-121.99824
59,36.97535,-121.99824
60,36.97535,-121.99823
61,36.97535,-121.99822
62,36.97536,-121.99822
63,36.97536,-121.99821
64,36.97536,-121.9982
65,36.97537,-121.9982
66,36.97537,-121.99819
67,36.97537,-121.99818
68,36.97537,-121.99817
69,36.97537,-121.99816
70,36.97537,-121.99815
71,36.97537,-121.99814
72,36.97537,-121.99813
73,36.97537,-121.99812
74,36.97538,-121.99812
75,36.97538,-121.99811
76,36.97538,-121.9981
77,36.97539,-121.9981
78,36.97539,-121.99809
79,36.97539,-121.99808
80,36.9754,-121.99807
81,36.9754,-121.99806
82,36.97541,-121.99806
83,36.97541,-121.99805
84,36.97541,-121.99804
85,36.97542,-121.99804
86,36.97542,-121.99803
87,36.97542,-121.99802
88,36.97543,-121.99802
89,36.97543,-121.99801
90,36.97543,-121.998
91,36.97544,-121.99799
92,36.97544,-121.99798
93,36.97544,-121.99797
94,36.97545,-121.99796
95,36.97545,-121.99795
96,36.97546,-121.99793
97,36.97546,-121.99792
98,36.97547,-121.99791
99,36.97548,-121.99789
100,36.97549,-121.99788
101,36.9755,-121.99788
102,36.97551,-121.99786
103,36.97552,-121.99784
104,36.97553,-121.99783
105,36.97554,-121.99783
106,36.97555,-121.99782
107,36.97555,-121.99781
108,36.97556,-121.9978
109,36.97557,-121.99779
110,36.97558,-121.99778
111,36.97559,-121.99778
112,36.9756,-121.99777
113,36.97561,-121.99777
114,36.97562,-121.99776
115,36.97563,-121.99776
116,36.97564,-121.99775
117,36.97566,-121.99775
118,36.97568,-121.99776
119,36.97571,-121.99776
120,36.97572,-121.99777
121,36.97573,-121.99777
122,36.97574,-121.99778
123,36.97575,-121.99778
124,36.97576,-121.99779
125,36.97578,-121.9978
126,36.9758,-121.99782
127,36.9758,-121.99783
128,36.97582,-121.99784
129,36.97583,-121.99785
130,36.97584,-121.99785
131,36.97584,-121.99786
132,36.97585,-121.99786
133,36.97586,-121.99787
134,36.97588,-121.99789
135,36.97589,-121.9979
136,36.97589,-121.99792
137,36.9759,-121.99793
138,36.97591,-121.99795
139,36.97592,-121.99796
140,36.97593,-121.99797
141,36.97594,-121.99798
142,36.97597,-121.99801
143,36.976,-121.99802
144,36.97606,-121.99806
145,36.97607,-121.99807
146,36.97611,-121.9981
147,36.97615,-121.99812
148,36.97616,-121.99813
149,36.97617,-121.99814
150,36.97618,-121.99814
151,36.9762,-121.99815
152,36.97625,-121.99815
153,36.97633,-121.99818
154,36.97643,-121.9982
155,36.9765,-121.9982
156,36.97661,-121.99822
157,36.97664,-121.99822
158,36.97672,-121.99824
159,36.97679,-121.99827
160,36.9768,-121.99828
161,36.97683,-121.9983
162,36.97688,-121.99834
163,36.97691,-121.99836
164,36.97693,-121.99836
165,36.97695,-121.99836
166,36.97703,-121.99837
167,36.9772,-121.99838
168,36.97731,-121.99839
169,36.97735,-121.99839
170,36.97749,-121.99839
171,36.97755,-121.99841
172,36.97756,-121.99841
173,36.97759,-121.99842
174,36.97761,-121.99842
175,36.97764,-121.99841
176,36.97765,-121.9984
177,36.97767,-121.99838
178,36.97768,-121.99837
179,36.9777,-121.99835
180,36.97771,-121.99834
181,36.97773,-121.99833
182,36.97778,-121.99832
183,36.97783,-121.99831
184,36.97789,-121.9983
185,36.97793,-121.99829
186,36.97794,-121.99829
187,36.97796,-121.99828
188,36.97798,-121.99826
189,36.97801,-121.99823
190,36.97804,-121.99817
191,36.97806,-121.99814
192,36.97807,-121.99813
193,36.9781,-121.99809
194,36.97813,-121.99806
195,36.97815,-121.99804
196,36.97819,-121.998
197,36.97823,-121.99797
198,36.97827,-121.99796
199,36.97832,-121.99793
200,36.97838,-121.99792
201,36.97842,-121.99791
202,36.97844,-121.99791
203,36.97846,-121.99791
204,36.97848,-121.99791
205,36.9785,-121.99791
206,36.97852,-121.99791
207,36.97854,-121.99792
208,36.97859,-121.99793
209,36.97864,-121.99796
210,36.9787,-121.99799
211,36.97878,-121.99805
212,36.97883,-121.99808
213,36.97888,-121.99809
214,36.97893,-121.99809
215,36.97899,-121.9981
216,36.97904,-121.99812
217,36.9791,-121.99817
218,36.97915,-121.99825
219,36.97916,-121.99827
220,36.97917,-121.99831
221,36.97918,-121.99841
222,36.97918,-121.99847
223,36.97917,-121.99853
224,36.97911,-121.99854
225,36.9791,-121.99855
226,36.97908,-121.99857
227,36.97905,-121.99862
228,36.97896,-121.99876
229,36.97894,-121.99877
230,36.97893,-121.99878
231,36.97881,-121.99884
232,36.9788,-121.99885
233,36.97878,-121.99887
234,36.97867,-121.99902
235,36.97864,-121.99904
236,36.97861,-121.99906
237,36.9785,-121.99909
238,36.97844,-121.99909
239,36.97821,-121.99914
240,36.97811,-121.99918
241,36.97804,-121.99922
242,36.97801,-121.99923
243,36.97795,-121.99926
244,36.97787,-121.9993
245,36.97787,-121.99931
246,36.97777,-121.99938
247,36.97754,-121.99957
248,36.97752,-121.99958
249,36.97749,-121.99959
250,36.97747,-121.9996
251,36.97744,-121.99961
252,36.97741,-121.99961
253,36.9774,-121.9996
254,36.97737,-121.99959
255,36.97735,-121.99958
256,36.97728,-121.99949
257,36.97718,-121.99937
258,36.97715,-121.99933
259,36.97713,-121.99932
260,36.97712,-121.99931
261,36.9771,-121.99931
262,36.97709,-121.99931
263,36.97706,-121.99932
264,36.97704,-121.99933
265,36.97695,-121.99938
266,36.97689,-121.99941
267,36.97685,-121.99943
268,36.97682,-121.99944
269,36.97681,-121.99944
270,36.97677,-121.99946
271,36.97673,-121.99948
272,36.97671,-121.9995
273,36.97663,-121.99954
274,36.97655,-121.99962
275,36.97649,-121.99968
276,36.97644,-121.99973
277,36.97619,-121.99993
278,36.97601,-122.0001
279,36.97597,-122.00015
280,36.97596,-122.0002
281,36.97596,-122.00026
282,36.97597,-122.00031
283,36.97597,-122.00035
284,36.97596,-122.0004
285,36.97594,-122.00045
286,36.97591,-122.0005
287,36.97587,-122.00055
288,36.97584,-122.00059
289,36.97583,-122.00063
290,36.97583,-122.00065
291,36.97583,-122.0007
292,36.97585,-122.00077
293,36.97581,-122.0008
294,36.97566,-122.00095
295,36.97557,-122.00103
296,36.97553,-122.00106
297,36.97548,-122.00108
298,36.97546,-122.00109
299,36.97544,-122.00109
300,36.97542,-122.00109
301,36.97535,-122.00108
302,36.97532,-122.00107
303,36.97528,-122.00107
304,36.97524,-122.00108
305,36.9752,-122.0011
306,36.97515,-122.00113
307,36.97512,-122.00114
308,36.97509,-122.00114
309,36.97506,-122.00114
310,36.97503,-122.00114
311,36.975,-122.00113
312,36.97495,-122.00111
313,36.97492,-122.0011
314,36.97488,-122.0011
315,36.97484,-122.0011
316,36.97483,-122.00111
317,36.97481,-122.00111
318,36.97479,-122.00112
319,36.97478,-122.00112
320,36.97476,-122.00112
321,36.97475,-122.00112
322,36.97471,-122.00112
323,36.97466,-122.00111
324,36.97452,-122.00109
325,36.9743,-122.00108
326,36.97412,-122.00108
327,36.97397,-122.00106
328,36.97394,-122.00105
329,36.97393,-122.00105
330,36.97391,-122.00104
331,36.97388,-122.00102
332,36.97385,-122.00101
333,36.97381,-122.001
334,36.97377,-122.00098
335,36.97368,-122.00091
336,36.97363,-122.00084
337,36.97362,-122.00083
338,36.97361,-122.00076
339,36.9736,-122.00068
340,36.97359,-122.00064
341,36.97353,-122.00055
342,36.9734,-122.00033
343,36.97333,-122.00013
344,36.97333,-122.00005
345,36.97337,-122.00001
346,36.97342,-121.99998
347,36.97358,-121.99989
348,36.97362,-121.99987
349,36.97362,-121.99986
350,36.97372,-121.99981
351,36.97381,-121.99978
352,36.97386,-121.99978
353,36.97391,-121.99977
354,36.97396,-121.99979
355,36.97397,-121.9998
356,36.974,-121.99981
357,36.97405,-121.99981
358,36.97411,-121.99978
359,36.97424,-121.99971
360,36.97431,-121.99963
361,36.97439,-121.99952
362,36.97454,-121.99936
363,36.97455,-121.99935
364,36.97468,-121.9992
365,36.97468,-121.99919
366,36.97474,-121.99911
367,36.97481,-121.99904
368,36.97486,-121.99899
369,36.9749,-121.99895
370,36.97495,-121.9989
371,36.97487,-121.99893
372,36.9748,-121.99897
373,36.97471,-121.99903
374,36.97464,-121.99908
375,36.97424,-121.99938
376,36.97421,-121.9994
377,36.97417,-121.9994
378,36.97402,-121.99943
379,36.97398,-121.99942
380,36.97389,-121.9994
381,36.97391,-121.99931
382,36.97390267324496,-121.99929503143198
