Line Number,Latitude,Longitude
1,37.00234,-122.05589
2,37.0024,-122.05593
3,37.0024,-122.05594
4,37.00255,-122.05601
5,37.00257,-122.05602
6,37.0027,-122.05606
7,37.00288,-122.056
8,37.00298,-122.05595
9,37.00307,-122.05589
10,37.0031,-122.05586
11,37.00315,-122.05586
12,37.00325,-122.05587
13,37.00335,-122.05585
14,37.00343,-122.0558
15,37.00353,-122.05567
16,37.00354,-122.0557
17,37.00358,-122.05584
18,37.00363,-122.05597
19,37.00369,-122.05608
20,37.00378,-122.05627
21,37.00388,-122.05646
22,37.00399,-122.05668
23,37.00413,-122.05688
24,37.00421,-122.05696
25,37.00422,-122.0569
26,37.00423,-122.05685
27,37.00422,-122.05682
28,37.00422,-122.05679
29,37.00422,-122.05676
30,37.00422,-122.05672
31,37.00422,-122.05668
32,37.00423,-122.05666
33,37.00424,-122.05663
34,37.00427,-122.05659
35,37.00429,-122.05656
36,37.00431,-122.05654
37,37.00433,-122.05649
38,37.00435,-122.05638
39,37.00437,-122.05633
40,37.0044,-122.05627
41,37.00442,-122.05622
42,37.00444,-122.0562
43,37.00448,-122.05616
44,37.00453,-122.05612
45,37.00461,-122.05608
46,37.00471,-122.05604
47,37.00484,-122.05602
48,37.00496,-122.05604
49,37.00506,-122.05606
50,37.00507,-122.05606
51,37.00523,-122.05614
52,37.00524,-122.05615
53,37.0054,-122.05625
54,37.00555,-122.05635
55,37.00556,-122.05647
56,37.00556,-122.05651
57,37.0056,-122.05667
58,37.0056,-122.05669
59,37.00564,-122.05687
60,37.0057,-122.057
61,37.00575,-122.0571
62,37.00578,-122.05717
63,37.00586,-122.05727
64,37.00589,-122.0573
65,37.00599,-122.05741
66,37.00605,-122.05761
67,37.00616,-122.05781
68,37.0062,-122.05793
69,37.00622,-122.05802
70,37.00622,-122.05805
71,37.00622,-122.05815
72,37.00621,-122.05825
73,37.00621,-122.05827
74,37.00622,-122.05842
75,37.00625,-122.05854
76,37.00631,-122.05865
77,37.00632,-122.05867
78,37.00639,-122.05879
79,37.00655,-122.05898
80,37.00644,-122.05905
81,37.00631,-122.05916
82,37.00623,-122.05929
83,37.00618,-122.05943
84,37.00621,-122.05959
85,37.00622,-122.05962
86,37.0063,-122.05978
87,37.00633,-122.05984
88,37.0064,-122.05992
89,37.00653,-122.06001
90,37.00655,-122.06003
