Line Number,Latitude,Longitude
1,37.0022080084372,-122.055630296991
2,37.00216,-122.05562
3,37.00215,-122.05573
4,37.00225,-122.05581
5,37.0024,-122.05593
6,37.00255,-122.05601
7,37.00257,-122.05602
8,37.0027,-122.05606
9,37.00288,-122.056
10,37.00298,-122.05595
11,37.00307,-122.05589
12,37.0031,-122.05586
13,37.00315,-122.05586
14,37.00325,-122.05587
15,37.00335,-122.05585
16,37.00343,-122.0558
17,37.00353,-122.05567
18,37.00354,-122.0557
19,37.00358,-122.05584
20,37.00363,-122.05597
21,37.00369,-122.05608
22,37.00378,-122.05627
23,37.00388,-122.05646
24,37.00399,-122.05668
25,37.00413,-122.05688
26,37.00421,-122.05696
27,37.00422,-122.0569
28,37.00423,-122.05685
29,37.00422,-122.05682
30,37.00422,-122.05679
31,37.00422,-122.05676
32,37.00422,-122.05672
33,37.00422,-122.05668
34,37.00423,-122.05666
35,37.00424,-122.05663
36,37.00427,-122.05659
37,37.00429,-122.05656
38,37.00431,-122.05654
39,37.00433,-122.05649
40,37.00435,-122.05638
41,37.00437,-122.05633
42,37.0044,-122.05627
43,37.00442,-122.05622
44,37.00444,-122.0562
45,37.00422,-122.05584
46,37.00395,-122.05539
47,37.00405,-122.05537
48,37.00418,-122.05529
49,37.00441,-122.0552
50,37.00451,-122.05518
51,37.00486,-122.05509
52,37.00514,-122.05503
53,37.00538,-122.05502
54,37.00558,-122.05505
55,37.00561,-122.05506
56,37.00574,-122.05515
57,37.00585,-122.05522
58,37.00589,-122.05526
59,37.00603,-122.0554
60,37.00612,-122.05548
61,37.00617,-122.05554
62,37.00625,-122.05563
63,37.0063,-122.0557
64,37.00649,-122.05597
65,37.00652,-122.05605
66,37.00655,-122.05612
67,37.00664,-122.05631
68,37.00665,-122.05634
69,37.00676,-122.05661
70,37.0069,-122.05683
71,37.00692,-122.05686
72,37.00693,-122.05688
73,37.00705,-122.05704
74,37.00708,-122.05708
75,37.0072,-122.05716
76,37.00737,-122.05725
77,37.00744,-122.0573
78,37.00753,-122.05735
79,37.00766,-122.05744
80,37.00768,-122.05746
81,37.00781,-122.05762
82,37.00787,-122.0577
83,37.00791,-122.0578
84,37.00799,-122.05797
85,37.008,-122.058
86,37.00802,-122.05819
87,37.00803,-122.05822
88,37.00811,-122.0584
89,37.00812,-122.05842
90,37.00823,-122.05858
91,37.00824,-122.05859
92,37.00836,-122.05875
93,37.0084,-122.05879
94,37.00847,-122.05894
95,37.00847,-122.05903
96,37.00842,-122.05927
97,37.00842,-122.05938
98,37.00842,-122.05956
99,37.00835,-122.05961
100,37.00829,-122.05965
101,37.0082,-122.0597
102,37.00818,-122.0597
103,37.00808,-122.05972
104,37.008,-122.0597
105,37.0079,-122.05966
106,37.00784,-122.05962
107,37.00776,-122.05982
108,37.00768,-122.06002
109,37.00767,-122.06007
110,37.00764,-122.06024
111,37.00764,-122.06042
112,37.00766,-122.06048
113,37.00764,-122.06042
114,37.00764,-122.06024
115,37.00767,-122.06007
116,37.00768,-122.06002
117,37.00776,-122.05982
118,37.00784,-122.05962
119,37.0078,-122.05959
120,37.00773,-122.05946
121,37.00772,-122.05945
122,37.00764,-122.05932
123,37.00753,-122.05924
124,37.00746,-122.05924
125,37.00744,-122.05924
126,37.00736,-122.05925
127,37.00727,-122.05929
128,37.00718,-122.05933
129,37.00712,-122.05934
130,37.0071,-122.05932
131,37.00708,-122.05931
132,37.00704,-122.05925
133,37.00702,-122.05915
134,37.00702,-122.05913
135,37.007,-122.05907
136,37.00695,-122.05903
137,37.0069,-122.05903
138,37.00681,-122.05907
139,37.00673,-122.05907
140,37.00671,-122.05907
141,37.00665,-122.05907
142,37.00656,-122.059
143,37.00655,-122.05898
144,37.00639,-122.05879
145,37.00632,-122.05867
146,37.00631,-122.05865
147,37.00625,-122.05854
148,37.00622,-122.05842
149,37.00621,-122.05827
150,37.00621,-122.05825
151,37.00622,-122.05815
152,37.00622,-122.05805
153,37.00622,-122.05802
154,37.0062,-122.05793
155,37.00616,-122.05781
156,37.00605,-122.05761
157,37.00599,-122.05741
158,37.00589,-122.0573
159,37.00586,-122.05727
160,37.00578,-122.05717
161,37.00575,-122.0571
162,37.0057,-122.057
163,37.00564,-122.05687
164,37.0056,-122.05669
165,37.0056,-122.05667
166,37.00556,-122.05651
167,37.00556,-122.05647
168,37.00555,-122.05635
169,37.0054,-122.05625
170,37.00524,-122.05615
171,37.00523,-122.05614
172,37.00507,-122.05606
173,37.00506,-122.05606
174,37.00496,-122.05604
175,37.00484,-122.05602
176,37.00471,-122.05604
177,37.00461,-122.05608
178,37.00453,-122.05612
179,37.00448,-122.05616
180,37.00444,-122.0562
181,37.00442,-122.05622
182,37.0044,-122.05627
183,37.00437,-122.05633
184,37.00435,-122.05638
185,37.00433,-122.05649
186,37.00431,-122.05654
187,37.00429,-122.05656
188,37.00427,-122.05659
189,37.00424,-122.05663
190,37.00423,-122.05666
191,37.00422,-122.05668
192,37.00422,-122.05672
193,37.00422,-122.05676
194,37.00422,-122.05679
195,37.00422,-122.05682
196,37.00423,-122.05685
197,37.00422,-122.0569
198,37.00421,-122.05696
199,37.00419,-122.05694
200,37.00413,-122.05688
201,37.00399,-122.05668
202,37.00388,-122.05646
203,37.00378,-122.05627
204,37.00369,-122.05608
205,37.00363,-122.05597
206,37.00358,-122.05584
207,37.00354,-122.0557
208,37.00353,-122.05567
209,37.00343,-122.0558
210,37.00335,-122.05585
211,37.00325,-122.05587
212,37.00315,-122.05586
213,37.0031,-122.05586
214,37.00307,-122.05589
215,37.00298,-122.05595
216,37.00288,-122.056
217,37.0027,-122.05606
218,37.00257,-122.05602
219,37.00255,-122.05601
220,37.0024,-122.05594
221,37.0024,-122.05593
222,37.00225,-122.05581
223,37.0022283871168,-122.055836032758
