Line Number,Latitude,Longitude
1,36.98784239758168,-122.0688788722002
2,36.98782,-122.06886
3,36.98781,-122.06897
4,36.98779,-122.06904
5,36.98773,-122.06918
6,36.98771,-122.06923
7,36.98772,-122.06928
8,36.9877,-122.06935
9,36.98769,-122.06943
10,36.98767,-122.0695
11,36.98766,-122.0695
12,36.98759,-122.06958
13,36.98752,-122.06961
14,36.98742,-122.06964
15,36.98726,-122.06971
16,36.98718,-122.06972
17,36.987,-122.0697
18,36.98693,-122.06968
19,36.98685,-122.06957
20,36.98682,-122.06955
21,36.98668,-122.06956
22,36.98667,-122.06956
23,36.98655,-122.06955
24,36.98642,-122.06954
25,36.9863,-122.06949
26,36.98617,-122.0695
27,36.98614,-122.0695
28,36.98596,-122.0695
29,36.98588,-122.0695
30,36.98578,-122.06949
31,36.98568,-122.06946
32,36.98561,-122.06944
33,36.98547,-122.06939
34,36.98525,-122.0693
35,36.98516,-122.06928
36,36.98509,-122.06927
37,36.98494,-122.06926
38,36.98491,-122.06926
39,36.98473,-122.06926
40,36.98472,-122.06926
41,36.98465,-122.06931
42,36.98463,-122.06941
43,36.98463,-122.06942
44,36.9846,-122.06946
45,36.98459,-122.06954
46,36.98461,-122.06974
47,36.98461,-122.06987
48,36.98458,-122.07011
49,36.98454,-122.07026
50,36.98453,-122.07029
51,36.98447,-122.07044
52,36.98446,-122.0705
53,36.98445,-122.07056
54,36.98445,-122.07067
55,36.98444,-122.07072
56,36.98441,-122.0708
57,36.98435,-122.07087
58,36.98433,-122.07089
59,36.98425,-122.07094
60,36.98416,-122.07094
61,36.98398,-122.07095
62,36.98381,-122.07096
63,36.98351,-122.07098
64,36.98327,-122.07106
65,36.98327,-122.07107
66,36.98317,-122.07108
67,36.9831,-122.07108
68,36.983,-122.07106
69,36.98291,-122.0711
70,36.98237,-122.07113
71,36.9821,-122.07114
72,36.98187,-122.07112
73,36.98175,-122.07112
74,36.98166,-122.07112
75,36.98157,-122.07111
76,36.9814,-122.07117
77,36.98133,-122.07118
78,36.9813,-122.07117
79,36.98102,-122.07111
80,36.98086,-122.0711
81,36.98059,-122.07104
82,36.98043,-122.07104
83,36.98032,-122.07108
84,36.98025,-122.07115
85,36.98024,-122.07106
86,36.98026,-122.07098
87,36.98028,-122.07089
88,36.98031,-122.07082
89,36.98036,-122.07073
90,36.98037,-122.0707
91,36.98043,-122.07065
92,36.9805,-122.07057
93,36.98084,-122.07034
94,36.98098,-122.07023
95,36.98103,-122.07017
96,36.9811,-122.07011
97,36.98128,-122.06993
98,36.98131,-122.06989
99,36.98137,-122.06981
100,36.98148,-122.06968
101,36.98153,-122.06956
102,36.98153,-122.06954
103,36.98156,-122.06939
104,36.98156,-122.06932
105,36.98158,-122.06886
106,36.98161,-122.06842
107,36.98161,-122.06832
108,36.98167,-122.06752
109,36.98174,-122.0664
110,36.98175,-122.0663
111,36.98176,-122.06618
112,36.98179,-122.06575
113,36.98179,-122.06573
114,36.9818,-122.06566
115,36.98182,-122.06557
116,36.98186,-122.06553
117,36.9819,-122.06547
118,36.98192,-122.06546
119,36.982,-122.06539
120,36.98291,-122.06467
121,36.98298,-122.06462
122,36.98314,-122.0645
123,36.98322,-122.06443
124,36.98336,-122.06432
125,36.98338,-122.06435
126,36.98346,-122.06451
127,36.98356,-122.0647
128,36.98367,-122.06492
129,36.98379,-122.06513
130,36.98388,-122.06528
131,36.98391,-122.06533
132,36.98399,-122.06546
133,36.98421,-122.0658
134,36.98426,-122.06586
135,36.98434,-122.06598
136,36.98446,-122.06614
137,36.98446,-122.06615
138,36.98454,-122.06625
139,36.98478,-122.06654
140,36.98485,-122.06662
141,36.98485,-122.06663
142,36.9849,-122.06669
143,36.98516,-122.06697
144,36.9854,-122.06722
145,36.98542,-122.06724
146,36.986,-122.06775
147,36.98614,-122.06786
148,36.98645,-122.06809
149,36.98683,-122.06833
150,36.98687,-122.06836
151,36.98695,-122.0684
152,36.98697,-122.06841
153,36.98716,-122.0685
154,36.9872,-122.06852
155,36.9873,-122.06862
156,36.98737,-122.06865
157,36.98775,-122.06882
158,36.987756045908455,-122.06880869770244
