Line Number,Latitude,Longitude
1,37.41974,-122.08282
2,37.41973,-122.08283
3,37.41965,-122.08283
4,37.41962,-122.08283
5,37.41954,-122.08283
6,37.41954,-122.08263
7,37.41945,-122.08263
8,37.41931,-122.08263
9,37.41913,-122.08262
10,37.41892,-122.08261
11,37.41883,-122.08261
12,37.41878,-122.0826
13,37.41876,-122.0826
14,37.41874,-122.0826
15,37.41874,-122.08237
16,37.41874,-122.08215
17,37.41873,-122.0819
18,37.41872,-122.08171
19,37.41873,-122.08155
20,37.41874,-122.08142
21,37.41875,-122.08125
22,37.41874,-122.08112
23,37.41874,-122.08108
24,37.41873,-122.08105
25,37.41872,-122.08102
26,37.41871,-122.08098
27,37.41868,-122.08093
28,37.41865,-122.08089
29,37.41861,-122.08085
30,37.41858,-122.08083
31,37.41855,-122.08081
32,37.41852,-122.0808
33,37.41848,-122.08079
34,37.41843,-122.08079
35,37.41836,-122.08079
36,37.41831,-122.08079
37,37.41828,-122.08078
38,37.41825,-122.08076
39,37.41823,-122.08074
40,37.41822,-122.08071
41,37.41821,-122.08068
42,37.41819,-122.08059
43,37.41819,-122.08039
44,37.41818,-122.08025
45,37.41816,-122.08005
46,37.41814,-122.07992
47,37.41814,-122.07988
48,37.41813,-122.07981
49,37.41813,-122.07974
50,37.41813,-122.07969
51,37.41808,-122.0797
52,37.41806,-122.0795
53,37.41806,-122.07938
54,37.41767,-122.07939
