Line Number,Latitude,Longitude
1,36.99323472550738,-122.01131257964865
2,36.99326,-122.01135
3,36.99329,-122.01133
4,36.99332,-122.0113
5,36.99337,-122.01129
6,36.99342,-122.01128
7,36.99351,-122.01126
8,36.9936,-122.01129
9,36.99363,-122.0113
10,36.99377,-122.01129
11,36.99388,-122.01128
12,36.99395,-122.01132
13,36.99401,-122.01134
14,36.99412,-122.01139
15,36.99416,-122.01141
16,36.99429,-122.01146
17,36.99431,-122.01147
18,36.99465,-122.01148
19,36.99467,-122.01148
20,36.99482,-122.01144
21,36.99496,-122.01139
22,36.99498,-122.01135
23,36.99509,-122.01117
24,36.99517,-122.01104
25,36.99519,-122.01099
26,36.99528,-122.01079
27,36.99537,-122.0106
28,36.99541,-122.01051
29,36.99547,-122.01041
30,36.99559,-122.01024
31,36.9957,-122.01007
32,36.99572,-122.01004
33,36.99585,-122.00994
34,36.99592,-122.00988
35,36.996,-122.00982
36,36.99616,-122.00971
37,36.99627,-122.00977
38,36.99633,-122.00975
39,36.99648,-122.00971
40,36.9965,-122.0097
41,36.99667,-122.0096
42,36.99674,-122.00956
43,36.99682,-122.00949
44,36.99697,-122.00937
45,36.99712,-122.00925
46,36.99727,-122.00912
47,36.99737,-122.00904
48,36.99742,-122.00899
49,36.99755,-122.00883
50,36.99767,-122.00867
51,36.99775,-122.00858
52,36.99778,-122.0085
53,36.99793,-122.00806
54,36.99795,-122.00786
55,36.99797,-122.00764
56,36.99799,-122.00741
57,36.99799,-122.00738
58,36.99799,-122.00719
59,36.99799,-122.00679
60,36.99798,-122.00674
61,36.99793,-122.00652
62,36.99789,-122.0063
63,36.99784,-122.00608
64,36.99782,-122.006
65,36.99782,-122.00586
66,36.9978,-122.00564
67,36.9978,-122.00551
68,36.99782,-122.00542
69,36.99788,-122.00521
70,36.99795,-122.00497
71,36.99802,-122.00479
72,36.9981,-122.00459
73,36.9981,-122.00436
74,36.9981,-122.00416
75,36.9981,-122.00414
76,36.99812,-122.00391
77,36.99814,-122.00369
78,36.99815,-122.00357
79,36.99814,-122.00347
80,36.99811,-122.00325
81,36.9981,-122.00316
82,36.99808,-122.00303
83,36.99808,-122.00302
84,36.9981,-122.0028
85,36.99812,-122.00267
86,36.99813,-122.00258
87,36.99817,-122.00236
88,36.99818,-122.0023
89,36.99821,-122.00214
90,36.99825,-122.00192
91,36.99826,-122.00183
92,36.99824,-122.0019
93,36.99818,-122.00212
94,36.99807,-122.00254
95,36.99801,-122.00276
96,36.99795,-122.00297
97,36.99789,-122.00318
98,36.99784,-122.0034
99,36.99778,-122.00361
100,36.99772,-122.00382
101,36.99768,-122.00396
102,36.99767,-122.00404
103,36.99765,-122.00426
104,36.99762,-122.00448
105,36.9976,-122.00471
106,36.99759,-122.00482
107,36.99754,-122.00492
108,36.99746,-122.00512
109,36.99737,-122.00531
110,36.99735,-122.00536
111,36.99734,-122.00544
112,36.99731,-122.00567
113,36.99729,-122.00584
114,36.9973,-122.00612
115,36.9973,-122.00626
116,36.99732,-122.00634
117,36.99737,-122.00655
118,36.99738,-122.00658
119,36.99745,-122.00676
120,36.99748,-122.00685
121,36.99751,-122.00697
122,36.99754,-122.00707
123,36.99758,-122.00721
124,36.99768,-122.00736
125,36.99773,-122.00755
126,36.99773,-122.00758
127,36.99772,-122.00773
128,36.9977,-122.00779
129,36.99761,-122.00799
130,36.99757,-122.00811
131,36.99753,-122.00819
132,36.99744,-122.00838
133,36.99742,-122.00841
134,36.99733,-122.00857
135,36.99725,-122.00872
136,36.99723,-122.00875
137,36.99713,-122.00889
138,36.9971,-122.00891
139,36.99698,-122.00902
140,36.99695,-122.00904
141,36.99682,-122.00914
142,36.99664,-122.00925
143,36.99658,-122.00928
144,36.99649,-122.00938
145,36.99635,-122.00952
146,36.99621,-122.00966
147,36.99616,-122.00971
148,36.996,-122.00982
149,36.99592,-122.00988
150,36.99585,-122.00994
151,36.99572,-122.01004
152,36.9957,-122.01007
153,36.99559,-122.01024
154,36.99547,-122.01041
155,36.99541,-122.01051
156,36.99537,-122.0106
157,36.99528,-122.01079
158,36.99519,-122.01099
159,36.99517,-122.01104
160,36.99509,-122.01117
161,36.99498,-122.01135
162,36.99496,-122.01139
163,36.99482,-122.01144
164,36.99467,-122.01148
165,36.99465,-122.01148
166,36.99431,-122.01147
167,36.99429,-122.01146
168,36.99416,-122.01141
169,36.99412,-122.01139
170,36.99401,-122.01134
171,36.99395,-122.01132
172,36.99388,-122.01128
173,36.99377,-122.01129
174,36.99363,-122.0113
175,36.9936,-122.01129
176,36.99351,-122.01126
177,36.99342,-122.01128
178,36.99339,-122.01128
179,36.99339675139666,-122.01130884995139
