Line Number,Latitude,Longitude
1,37.00333,-122.06601
2,37.0033,-122.06594
3,37.00342,-122.06581
4,37.00342,-122.06578
5,37.00343,-122.06564
6,37.00342,-122.06556
7,37.0034,-122.06543
8,37.0034,-122.06534
9,37.00339,-122.06516
10,37.00339,-122.06511
11,37.00338,-122.06489
12,37.00338,-122.06482
13,37.00338,-122.06479
14,37.00354,-122.06473
15,37.00365,-122.0647
16,37.00373,-122.06469
17,37.00382,-122.06467
18,37.00398,-122.06464
19,37.00408,-122.06461
20,37.00413,-122.06459
21,37.00425,-122.06452
22,37.00433,-122.06442
23,37.00437,-122.06435
24,37.00441,-122.06427
25,37.00447,-122.06409
26,37.00453,-122.06395
27,37.00458,-122.06384
28,37.00462,-122.06371
29,37.00468,-122.06356
30,37.00469,-122.06355
31,37.00473,-122.06349
32,37.00482,-122.06337
33,37.00491,-122.06328
34,37.00541,-122.06377
35,37.00598,-122.06432
36,37.00615,-122.06447
37,37.00636,-122.06464
38,37.00662,-122.06481
39,37.00694,-122.06502
40,37.00684,-122.06536
41,37.00683,-122.06539
42,37.00673,-122.06578
43,37.00661,-122.06621
44,37.00637,-122.06706
45,37.00631,-122.06727
46,37.00629,-122.06735
47,37.00627,-122.06749
48,37.00624,-122.06766
49,37.00619,-122.06793
50,37.00617,-122.06806
51,37.00614,-122.06822
52,37.00609,-122.06836
53,37.00624,-122.06846
54,37.00638,-122.06855
55,37.0064,-122.06856
56,37.00657,-122.06866
57,37.00674,-122.06877
58,37.0068,-122.0688
59,37.00685,-122.06881
60,37.00687,-122.06881
61,37.00689,-122.0688
62,37.007,-122.06874
63,37.00705,-122.0687
64,37.00713,-122.06864
65,37.00705,-122.0687
66,37.007,-122.06874
67,37.00689,-122.0688
68,37.00687,-122.06881
69,37.00685,-122.06881
70,37.0068,-122.0688
71,37.00674,-122.06877
72,37.00657,-122.06866
73,37.0064,-122.06856
74,37.00638,-122.06855
75,37.00624,-122.06846
76,37.00609,-122.06836
77,37.00614,-122.06822
78,37.00617,-122.06806
79,37.00619,-122.06793
80,37.00624,-122.06766
81,37.00627,-122.06749
82,37.00629,-122.06735
83,37.00631,-122.06727
84,37.00637,-122.06706
85,37.00661,-122.06621
86,37.00673,-122.06578
87,37.00683,-122.06539
88,37.00684,-122.06536
89,37.00694,-122.06502
90,37.00662,-122.06481
91,37.00636,-122.06464
92,37.00615,-122.06447
93,37.00598,-122.06432
94,37.00541,-122.06377
95,37.00491,-122.06328
96,37.00482,-122.06337
97,37.00473,-122.06349
98,37.00469,-122.06355
99,37.00468,-122.06356
100,37.00462,-122.06371
101,37.00458,-122.06384
102,37.00453,-122.06395
103,37.00447,-122.06409
104,37.00441,-122.06427
105,37.00438,-122.06431
106,37.00441,-122.06427
107,37.00447,-122.06409
108,37.00453,-122.06395
109,37.00458,-122.06384
110,37.00462,-122.06371
111,37.00468,-122.06356
112,37.00469,-122.06355
113,37.00473,-122.06349
114,37.00482,-122.06337
115,37.00491,-122.06328
116,37.00541,-122.06377
117,37.00598,-122.06432
118,37.00615,-122.06447
119,37.00636,-122.06464
120,37.00662,-122.06481
121,37.00694,-122.06502
122,37.00698,-122.06505
123,37.00738,-122.06531
124,37.00769,-122.06542
125,37.00776,-122.06545
126,37.00812,-122.06557
127,37.00851,-122.06566
128,37.00862,-122.06569
129,37.00869,-122.0657
130,37.00898,-122.06574
131,37.00904,-122.06576
132,37.00922,-122.0658
133,37.00937,-122.06583
134,37.0094,-122.06584
135,37.00945,-122.06585
136,37.00956,-122.06591
137,37.00957,-122.06591
138,37.00975,-122.06602
139,37.00983,-122.06608
140,37.00988,-122.06612
141,37.00994,-122.06617
142,37.00997,-122.06615
143,37.01,-122.06622
