Line Number,Latitude,Longitude
1,36.99715,-122.05
2,36.99723,-122.04994
3,36.99728,-122.04991
4,36.99744,-122.04981
5,36.99746,-122.0498
6,36.9976,-122.04972
7,36.99777,-122.04964
8,36.99782,-122.04961
9,36.99794,-122.04956
10,36.99811,-122.0495
11,36.99828,-122.04944
12,36.99829,-122.04944
13,36.99831,-122.04943
14,36.99846,-122.04937
15,36.99863,-122.0493
16,36.99864,-122.0493
17,36.9988,-122.04923
18,36.99893,-122.04917
19,36.99897,-122.04915
20,36.99907,-122.04909
21,36.99914,-122.04908
22,36.99931,-122.04906
23,36.99932,-122.04906
24,36.99949,-122.04907
25,36.99958,-122.04908
26,36.99967,-122.04907
27,36.99979,-122.04905
28,36.99984,-122.04901
29,36.99985,-122.04901
30,37.00012,-122.04884
31,37.0002,-122.04882
32,37.00012,-122.04884
33,37.00003,-122.04865
34,37.00001,-122.04862
35,36.99993,-122.04846
36,36.99989,-122.04838
37,36.99982,-122.04829
38,36.99969,-122.04814
39,36.99968,-122.04814
40,36.99957,-122.04808
41,36.99952,-122.0481
42,36.9994,-122.04817
43,36.99935,-122.04819
44,36.99918,-122.04827
45,36.999,-122.04836
46,36.99885,-122.04844
47,36.99869,-122.04853
48,36.99867,-122.04854
49,36.99853,-122.04864
50,36.99848,-122.04867
51,36.99835,-122.04869
52,36.99818,-122.04871
53,36.99796,-122.0485
54,36.99782,-122.04821
55,36.99778,-122.04813
56,36.99777,-122.048
57,36.99776,-122.04783
58,36.99774,-122.04778
59,36.99768,-122.04757
60,36.99764,-122.04745
61,36.99757,-122.04723
62,36.99755,-122.04723
63,36.99746,-122.04727
64,36.99739,-122.04706
65,36.99735,-122.04694
66,36.9973,-122.04688
67,36.99712,-122.04666
68,36.99706,-122.04655
69,36.99702,-122.04648
70,36.997,-122.04637
71,36.99699,-122.04634
72,36.99697,-122.04618
73,36.99697,-122.04612
74,36.99695,-122.04596
75,36.99693,-122.0459
76,36.99686,-122.04569
77,36.99677,-122.04542
78,36.99674,-122.04527
79,36.99669,-122.04506
80,36.99669,-122.04505
81,36.99665,-122.04489
82,36.99665,-122.04483
83,36.99664,-122.04472
84,36.9966,-122.04472
85,36.99657,-122.04471
86,36.99654,-122.04468
87,36.99651,-122.04464
88,36.99649,-122.0446
89,36.99643,-122.04449
90,36.99638,-122.04441
91,36.99637,-122.04439
92,36.99629,-122.04422
93,36.99622,-122.04404
94,36.99614,-122.04383
95,36.99609,-122.04374
96,36.99603,-122.04363
97,36.99593,-122.04347
98,36.99592,-122.04345
99,36.9958,-122.04328
