Line Number,Latitude,Longitude
1,37.01534517013991,-122.03484861392593
2,37.01534,-122.03485
3,37.01532,-122.03489
4,37.0153,-122.03492
5,37.01528,-122.03494
6,37.01526,-122.03497
7,37.01525,-122.03498
8,37.01524,-122.035
9,37.01523,-122.03505
10,37.01522,-122.0351
11,37.01522,-122.0352
12,37.01522,-122.03521
13,37.01522,-122.03531
14,37.01525,-122.03542
15,37.01527,-122.0355
16,37.0153,-122.03564
17,37.01531,-122.0357
18,37.01532,-122.03575
19,37.01533,-122.0358
20,37.01534,-122.03585
21,37.01538,-122.03591
22,37.0154,-122.03597
23,37.01543,-122.03605
24,37.01544,-122.0361
25,37.01547,-122.03615
26,37.0155,-122.03619
27,37.01551,-122.0362
28,37.01554,-122.03621
29,37.01559,-122.0362
30,37.01563,-122.03617
31,37.01565,-122.03617
32,37.01566,-122.03617
33,37.01567,-122.03617
34,37.01568,-122.03617
35,37.01568,-122.03618
36,37.01569,-122.03619
37,37.01569,-122.0362
38,37.0157,-122.03621
39,37.0157,-122.03623
40,37.01572,-122.03626
41,37.01573,-122.03628
42,37.01574,-122.03629
43,37.01576,-122.0363
44,37.01579,-122.03631
45,37.01583,-122.03632
46,37.01584,-122.03632
47,37.01585,-122.03632
48,37.01587,-122.03632
49,37.01588,-122.03633
50,37.01589,-122.03634
51,37.0159,-122.03635
52,37.0159,-122.03636
53,37.01591,-122.03636
54,37.01591,-122.03637
55,37.01591,-122.03638
56,37.0159,-122.03638
57,37.0159,-122.03639
58,37.01589,-122.03639
59,37.01586,-122.03639
60,37.01584,-122.0364
61,37.01583,-122.0364
62,37.01582,-122.03641
63,37.01582,-122.03642
64,37.01581,-122.03644
65,37.01581,-122.03646
66,37.01581,-122.03649
67,37.01582,-122.03652
68,37.01584,-122.03655
69,37.01588,-122.03658
70,37.01591,-122.0366
71,37.01594,-122.0366
72,37.01597,-122.03659
73,37.01598,-122.03659
74,37.01604,-122.03658
75,37.01611,-122.03656
76,37.01615,-122.03656
77,37.01616,-122.03656
78,37.0162,-122.03657
79,37.01622,-122.03657
80,37.01624,-122.03657
81,37.01625,-122.03658
82,37.01624,-122.03661
83,37.01623,-122.03662
84,37.01621,-122.03664
85,37.0162,-122.03665
86,37.01619,-122.03667
87,37.01614,-122.03672
88,37.0161,-122.03674
89,37.0161,-122.03677
90,37.01611,-122.03679
91,37.01612,-122.0368
92,37.01615,-122.0368
93,37.01619,-122.03682
94,37.0162,-122.03684
95,37.0162,-122.03687
96,37.01616,-122.03689
97,37.01613,-122.03689
98,37.01611,-122.03689
99,37.01609,-122.03687
100,37.01601,-122.03686
101,37.01598,-122.0369
102,37.01597,-122.03691
103,37.01594,-122.03697
104,37.01592,-122.03704
105,37.01588,-122.03709
106,37.01588,-122.0371
107,37.01587,-122.0371
108,37.01582,-122.0371
109,37.01578,-122.03711
110,37.01575,-122.03716
111,37.01573,-122.0372
112,37.01572,-122.03722
113,37.01565,-122.0373
