Line Number,Latitude,Longitude,Trail ID
1,37.017763687685814,-122.07930708652003,10
2,37.01775,-122.07932,10
3,37.01784,-122.07922,10
4,37.0179,-122.07914,10
5,37.01794,-122.07903,10
6,37.01796,-122.07896,10
7,37.01798,-122.07885,10
8,37.018,-122.07876,10
9,37.01801,-122.07865,10
10,37.018,-122.07856,10
11,37.01798,-122.07848,10
12,37.01796,-122.07837,10
13,37.01796,-122.07826,10
14,37.01796,-122.0782,10
15,37.01796,-122.07814,10
16,37.01798,-122.07802,10
17,37.018,-122.07793,10
18,37.01805,-122.07786,10
19,37.0181,-122.07782,10
20,37.01818,-122.07776,10
21,37.01831,-122.07769,10
22,37.01844,-122.07761,10
23,37.01855,-122.07754,10
24,37.01858,-122.0775,10
25,37.01863,-122.07745,10
26,37.0187,-122.07735,10
27,37.01871,-122.07733,10
28,37.01874,-122.07726,10
29,37.01878,-122.07714,10
30,37.01878,-122.07713,10
31,37.01881,-122.07704,10
32,37.01883,-122.07693,10
33,37.01884,-122.07692,10
34,37.01887,-122.07676,10
35,37.01888,-122.0767,10
36,37.01893,-122.07653,10
37,37.01898,-122.07632,10
38,37.019,-122.07618,10
39,37.01901,-122.07604,10
40,37.01903,-122.07582,10
41,37.01904,-122.07578,10
42,37.01904,-122.0756,10
43,37.01904,-122.07547,10
44,37.01905,-122.07537,10
45,37.01906,-122.0752,10
46,37.01908,-122.07491,10
47,37.01908,-122.07487,10
48,37.01908,-122.07464,10
49,37.01914,-122.0746,10
50,37.01919,-122.07454,10
51,37.01922,-122.07449,10
52,37.01925,-122.07445,10
53,37.01928,-122.07436,10
54,37.01929,-122.07429,10
55,37.0193,-122.07423,10
56,37.01931,-122.07409,10
57,37.01936,-122.07396,10
58,37.01955,-122.07383,10
59,37.01953,-122.07378,10
60,37.01949,-122.07363,10
61,37.01945,-122.07348,10
62,37.01943,-122.07344,10
63,37.01947,-122.07322,10
64,37.01952,-122.07302,10
65,37.01952,-122.073,10
66,37.01955,-122.07278,10
67,37.01956,-122.07273,10
68,37.01957,-122.07256,10
69,37.01957,-122.0725,10
70,37.01958,-122.07233,10
71,37.01958,-122.07199,10
72,37.0196,-122.07178,10
73,37.01963,-122.07166,10
74,37.01965,-122.07159,10
75,37.0197,-122.07147,10
76,37.0197,-122.07146,10
77,37.01977,-122.07129,10
78,37.01979,-122.07126,10
79,37.01988,-122.07107,10
80,37.01995,-122.07093,10
81,37.02001,-122.07076,10
82,37.02003,-122.07066,10
83,37.02004,-122.07059,10
84,37.02004,-122.07044,10
85,37.02002,-122.07027,10
86,37.01995,-122.07002,10
87,37.01989,-122.06979,10
88,37.01983,-122.06958,10
89,37.01983,-122.06957,10
90,37.01978,-122.06936,10
91,37.01978,-122.06935,10
92,37.0197,-122.06903,10
93,37.01968,-122.06892,10
94,37.01973,-122.06886,10
95,37.0198,-122.06875,10
96,37.01981,-122.06873,10
97,37.01988,-122.06862,10
98,37.01991,-122.06856,10
99,37.01992,-122.06854,10
100,37.02002,-122.06833,10
101,37.02009,-122.06817,10
102,37.0201,-122.06815,10
103,37.02015,-122.06801,10
104,37.02017,-122.06797,10
105,37.02018,-122.06795,10
106,37.02024,-122.06777,10
107,37.02025,-122.06775,10
108,37.02026,-122.06772,10
109,37.02032,-122.06757,10
110,37.02033,-122.06755,10
111,37.0204,-122.06737,10
112,37.02041,-122.06735,10
113,37.02049,-122.06716,10
114,37.02049,-122.06715,10
115,37.02057,-122.06694,10
116,37.02065,-122.06676,10
117,37.02066,-122.06674,10
118,37.02073,-122.06656,10
119,37.02074,-122.06654,10
120,37.02075,-122.06651,10
121,37.02081,-122.06636,10
122,37.02082,-122.06634,10
123,37.0209,-122.06617,10
124,37.02091,-122.06615,10
125,37.02108,-122.06578,10
126,37.02109,-122.06576,10
127,37.02118,-122.06559,10
128,37.02119,-122.06557,10
129,37.02127,-122.0654,10
130,37.02129,-122.06538,10
131,37.02138,-122.06521,10
132,37.02139,-122.06519,10
133,37.02149,-122.06501,10
134,37.02159,-122.06482,10
135,37.02169,-122.06463,10
136,37.02174,-122.06455,10
137,37.0218,-122.06449,10
138,37.02181,-122.06447,10
139,37.02186,-122.06443,10
140,37.02196,-122.06439,10
141,37.02197,-122.06438,10
142,37.02202,-122.06436,10
143,37.02211,-122.06434,10
144,37.02213,-122.06435,10
145,37.02215,-122.06435,10
146,37.02221,-122.06435,10
147,37.02228,-122.06438,10
148,37.0223,-122.0644,10
