Line Number,Latitude,Longitude,Trail ID
1,37.00706978218481,-122.04458198856686,9
2,37.00706,-122.04457,9
3,37.00701,-122.04464,9
4,37.00698,-122.04467,9
5,37.00696,-122.0447,9
6,37.00704,-122.04459,9
7,37.00692,-122.04476,9
8,37.0068,-122.04494,9
9,37.00677,-122.04498,9
10,37.0067,-122.04511,9
11,37.00667,-122.04517,9
12,37.00665,-122.04519,9
13,37.0066,-122.04531,9
14,37.00658,-122.04536,9
15,37.00652,-122.0455,9
16,37.00647,-122.04561,9
17,37.00639,-122.04593,9
18,37.00638,-122.04599,9
19,37.00636,-122.04615,9
20,37.00636,-122.04621,9
21,37.00635,-122.04626,9
22,37.00631,-122.04636,9
23,37.00629,-122.04642,9
24,37.00628,-122.04644,9
25,37.00619,-122.04657,9
26,37.00616,-122.04661,9
27,37.00602,-122.04674,9
28,37.006,-122.04676,9
29,37.00589,-122.0469,9
30,37.00576,-122.04706,9
31,37.00572,-122.04712,9
32,37.00561,-122.04719,9
33,37.00546,-122.04729,9
34,37.00539,-122.04734,9
35,37.00529,-122.04737,9
36,37.00538,-122.04742,9
37,37.00526,-122.04753,9
38,37.0052,-122.04763,9
39,37.00517,-122.04769,9
40,37.0051,-122.04791,9
41,37.0051,-122.04805,9
42,37.0051,-122.04817,9
43,37.00505,-122.04826,9
44,37.00501,-122.04833,9
45,37.00498,-122.04846,9
46,37.00493,-122.04868,9
47,37.00483,-122.0488,9
48,37.00479,-122.04881,9
49,37.00465,-122.04885,9
50,37.00462,-122.04884,9
51,37.00439,-122.04882,9
52,37.00427,-122.04889,9
53,37.00422,-122.04892,9
54,37.00397,-122.04891,9
55,37.00392,-122.04894,9
56,37.00362,-122.0491,9
57,37.00359,-122.04909,9
58,37.00342,-122.04902,9
59,37.00329,-122.04897,9
60,37.00325,-122.04895,9
61,37.00308,-122.04886,9
62,37.00305,-122.04885,9
63,37.00291,-122.0489,9
64,37.00281,-122.04894,9
65,37.00276,-122.049,9
66,37.0025,-122.04931,9
67,37.00232,-122.04927,9
68,37.0022,-122.04924,9
69,37.00214,-122.04925,9
70,37.00198,-122.04926,9
71,37.00196,-122.04927,9
72,37.0018,-122.04928,9
73,37.00178,-122.04929,9
74,37.00161,-122.04933,9
75,37.0016,-122.04933,9
76,37.00134,-122.0492,9
77,37.00127,-122.04919,9
78,37.00109,-122.04917,9
79,37.00106,-122.04917,9
80,37.00134,-122.04894,9
81,37.00138,-122.0489,9
82,37.0014,-122.04874,9
83,37.00145,-122.04871,9
84,37.00156,-122.04865,9
85,37.00159,-122.04864,9
86,37.00174,-122.04862,9
87,37.0018,-122.04862,9
88,37.00206,-122.04853,9
89,37.00209,-122.04852,9
90,37.00224,-122.04849,9
91,37.00227,-122.0485,9
92,37.00242,-122.04852,9
93,37.00245,-122.04852,9
94,37.00262,-122.04845,9
95,37.00279,-122.04839,9
96,37.00296,-122.04833,9
97,37.00297,-122.04833,9
98,37.00307,-122.04832,9
99,37.00314,-122.04833,9
100,37.0032,-122.04834,9
101,37.00328,-122.04837,9
102,37.00332,-122.04835,9
103,37.00336,-122.04833,9
104,37.00348,-122.04827,9
105,37.00364,-122.04819,9
106,37.00365,-122.04819,9
107,37.00373,-122.04817,9
108,37.00381,-122.04818,9
109,37.00383,-122.04819,9
110,37.00396,-122.04822,9
111,37.00419,-122.04821,9
112,37.00421,-122.04821,9
113,37.00437,-122.04816,9
114,37.00447,-122.04802,9
115,37.0045,-122.04796,9
116,37.00459,-122.04777,9
117,37.0046,-122.04773,9
118,37.00464,-122.04755,9
119,37.00465,-122.04749,9
120,37.00465,-122.04741,9
121,37.00465,-122.04733,9
122,37.0048,-122.04736,9
123,37.00497,-122.0474,9
124,37.0051,-122.04743,9
125,37.00515,-122.04742,9
126,37.00529,-122.04737,9
127,37.00539,-122.04734,9
128,37.00546,-122.04729,9
129,37.00561,-122.04719,9
130,37.00572,-122.04712,9
131,37.00576,-122.04706,9
132,37.00589,-122.0469,9
133,37.006,-122.04676,9
134,37.00602,-122.04674,9
135,37.00616,-122.04661,9
136,37.00619,-122.04657,9
137,37.00628,-122.04644,9
138,37.00629,-122.04642,9
139,37.00631,-122.04636,9
140,37.00635,-122.04626,9
141,37.00636,-122.04621,9
142,37.00636,-122.04615,9
143,37.00638,-122.04599,9
144,37.00639,-122.04593,9
145,37.00647,-122.04561,9
146,37.00652,-122.0455,9
147,37.00658,-122.04536,9
148,37.0066,-122.04531,9
149,37.00665,-122.04519,9
150,37.00667,-122.04517,9
151,37.0067,-122.04511,9
152,37.00677,-122.04498,9
153,37.0068,-122.04494,9
154,37.00692,-122.04476,9
155,37.00704,-122.04459,9
156,37.00696,-122.0447,9
157,37.00698,-122.04467,9
158,37.00701,-122.04464,9
159,37.00707,-122.04455,9
160,37.00705211144069,-122.04453303825584,9
