Line Number,Latitude,Longitude,Trail ID
1,36.95976972872169,-122.0861056066043,8
2,36.95973,-122.08613,8
3,36.95974,-122.08618,8
4,36.95978,-122.08641,8
5,36.9598,-122.08656,8
6,36.9598,-122.08663,8
7,36.95985,-122.0873,8
8,36.95987,-122.08752,8
9,36.95988,-122.08775,8
10,36.95991,-122.08801,8
11,36.95994,-122.08811,8
12,36.95997,-122.08818,8
13,36.95997,-122.08819,8
14,36.96004,-122.0883,8
15,36.96008,-122.08836,8
16,36.9602,-122.08853,8
17,36.96029,-122.08866,8
18,36.96026,-122.08873,8
19,36.96025,-122.08877,8
20,36.96024,-122.08883,8
21,36.96024,-122.0889,8
22,36.96024,-122.08894,8
23,36.96025,-122.089,8
24,36.96027,-122.08922,8
25,36.96028,-122.08935,8
26,36.96028,-122.08937,8
27,36.96028,-122.08945,8
28,36.96026,-122.08952,8
29,36.96025,-122.08954,8
30,36.96023,-122.08956,8
31,36.9602,-122.08958,8
32,36.96015,-122.0896,8
33,36.9601,-122.0896,8
34,36.96003,-122.08958,8
35,36.95996,-122.08956,8
36,36.95993,-122.08957,8
37,36.95987,-122.08958,8
38,36.95982,-122.08962,8
39,36.95976,-122.08969,8
40,36.95974,-122.08971,8
41,36.95972,-122.08974,8
42,36.95971,-122.08978,8
43,36.9597,-122.08983,8
44,36.9597,-122.08988,8
45,36.9597,-122.08994,8
46,36.95969,-122.08998,8
47,36.95968,-122.09,8
48,36.95968,-122.09002,8
49,36.95967,-122.09003,8
50,36.95965,-122.09005,8
51,36.95962,-122.09006,8
52,36.9596,-122.09008,8
53,36.95955,-122.09009,8
54,36.95948,-122.0901,8
55,36.95944,-122.0901,8
56,36.95943,-122.0901,8
57,36.9593,-122.09011,8
58,36.95928,-122.09011,8
59,36.9591,-122.09012,8
60,36.95873,-122.0901,8
61,36.95869,-122.0901,8
62,36.95819,-122.09015,8
63,36.95817,-122.09015,8
64,36.95812,-122.09015,8
65,36.95799,-122.09015,8
66,36.95796,-122.09014,8
67,36.9579,-122.09012,8
68,36.95779,-122.09008,8
69,36.95769,-122.09004,8
70,36.95765,-122.09001,8
71,36.95763,-122.08999,8
72,36.95748,-122.08985,8
73,36.95725,-122.08957,8
74,36.95715,-122.08946,8
75,36.95711,-122.08942,8
76,36.95705,-122.08936,8
77,36.95698,-122.08931,8
78,36.95696,-122.0893,8
79,36.95691,-122.08928,8
80,36.95684,-122.08925,8
81,36.95673,-122.08923,8
82,36.95661,-122.08925,8
83,36.95658,-122.08925,8
84,36.95649,-122.08928,8
85,36.95644,-122.08931,8
86,36.95627,-122.08939,8
87,36.9561,-122.08947,8
88,36.95595,-122.08954,8
89,36.95593,-122.08955,8
90,36.95583,-122.08961,8
91,36.95578,-122.08967,8
92,36.95571,-122.08977,8
93,36.95578,-122.08967,8
94,36.95583,-122.08961,8
95,36.95593,-122.08955,8
96,36.95595,-122.08954,8
97,36.9561,-122.08947,8
98,36.95627,-122.08939,8
99,36.95644,-122.08931,8
100,36.95649,-122.08928,8
101,36.95658,-122.08925,8
102,36.95661,-122.08925,8
103,36.95673,-122.08923,8
104,36.95684,-122.08925,8
105,36.95691,-122.08928,8
106,36.95696,-122.0893,8
107,36.95698,-122.08931,8
108,36.95705,-122.08936,8
109,36.95711,-122.08942,8
110,36.95715,-122.08946,8
111,36.95725,-122.08957,8
112,36.95748,-122.08985,8
113,36.95763,-122.08999,8
114,36.95765,-122.09001,8
115,36.95769,-122.09004,8
116,36.95779,-122.09008,8
117,36.9579,-122.09012,8
118,36.95796,-122.09014,8
119,36.95799,-122.09015,8
120,36.95812,-122.09015,8
121,36.95817,-122.09015,8
122,36.95819,-122.09015,8
123,36.95869,-122.0901,8
124,36.95873,-122.0901,8
125,36.9591,-122.09012,8
126,36.95928,-122.09011,8
127,36.9593,-122.09011,8
128,36.95943,-122.0901,8
129,36.95944,-122.0901,8
130,36.95948,-122.0901,8
131,36.95955,-122.09009,8
132,36.9596,-122.09008,8
133,36.95962,-122.09006,8
134,36.95965,-122.09005,8
135,36.95967,-122.09003,8
136,36.95968,-122.09002,8
137,36.95968,-122.09,8
138,36.95969,-122.08998,8
139,36.9597,-122.08994,8
140,36.9597,-122.08988,8
141,36.9597,-122.08983,8
142,36.95971,-122.08978,8
143,36.95973,-122.08972,8
144,36.95976,-122.08969,8
145,36.95982,-122.08962,8
146,36.95987,-122.08958,8
147,36.95993,-122.08957,8
148,36.95996,-122.08956,8
149,36.96003,-122.08958,8
150,36.9601,-122.0896,8
151,36.96015,-122.0896,8
152,36.9602,-122.08958,8
153,36.96023,-122.08956,8
154,36.96025,-122.08954,8
155,36.96026,-122.08952,8
156,36.96028,-122.08945,8
157,36.96028,-122.08937,8
158,36.96028,-122.08935,8
159,36.96027,-122.08922,8
160,36.96025,-122.089,8
161,36.96024,-122.08894,8
162,36.96024,-122.0889,8
163,36.96024,-122.08883,8
164,36.96025,-122.08877,8
165,36.96026,-122.08873,8
166,36.96029,-122.08866,8
167,36.9602,-122.08853,8
168,36.96008,-122.08836,8
169,36.96004,-122.0883,8
170,36.95997,-122.08819,8
171,36.95997,-122.08818,8
172,36.95994,-122.08811,8
173,36.95991,-122.08801,8
174,36.95988,-122.08775,8
175,36.95987,-122.08752,8
176,36.95985,-122.0873,8
177,36.9598,-122.08663,8
178,36.9598,-122.08656,8
179,36.95978,-122.08641,8
180,36.95974,-122.08618,8
181,36.95968,-122.08579,8
182,36.95967,-122.08574,8
183,36.95961,-122.08526,8
184,36.9596,-122.08507,8
185,36.95957,-122.08483,8
186,36.95954,-122.08457,8
187,36.95951,-122.08449,8
188,36.95949,-122.08444,8
189,36.95947,-122.0844,8
190,36.95944,-122.08438,8
191,36.95937,-122.08434,8
192,36.9593,-122.08436,8
193,36.95926,-122.08438,8
194,36.9592,-122.0844,8
195,36.95913,-122.08442,8
196,36.95908,-122.08445,8
197,36.95905,-122.08447,8
198,36.95902,-122.08449,8
199,36.95898,-122.08451,8
200,36.95895,-122.08452,8
201,36.95892,-122.08453,8
202,36.95891,-122.08453,8
203,36.95888,-122.08453,8
204,36.95883,-122.08453,8
205,36.95872,-122.08453,8
206,36.95859,-122.08454,8
207,36.95855,-122.08454,8
208,36.95849,-122.08454,8
209,36.95837,-122.08455,8
210,36.95832,-122.08456,8
211,36.95822,-122.08455,8
212,36.95814,-122.08454,8
213,36.95809,-122.08453,8
214,36.95802,-122.08451,8
215,36.958,-122.08451,8
216,36.95796,-122.08449,8
217,36.95788,-122.08446,8
218,36.95771,-122.08439,8
219,36.95768,-122.08437,8
220,36.95763,-122.08435,8
221,36.95759,-122.08434,8
222,36.95745,-122.08428,8
223,36.95733,-122.08423,8
224,36.95725,-122.0842,8
225,36.95709,-122.08414,8
226,36.957,-122.08411,8
227,36.95699,-122.0841,8
228,36.95693,-122.08409,8
229,36.95685,-122.08406,8
230,36.95682,-122.08404,8
231,36.95677,-122.08402,8
232,36.95674,-122.08397,8
233,36.9567,-122.08391,8
234,36.95669,-122.08389,8
235,36.95668,-122.08384,8
